,0
1746,111.7K
1747,87.6K
1748,54.2K
1749,376.5K
1750,261.2K
1751,7180
1752,360.2K
1753,1171
1754,311.6K
1755,38.8K
1756,157.7K
1757,699.8K
1758,16K
1759,389.2K
1760,76.5K
1761,207.6K
1762,382.8K
1763,36.4K
1764,589K
1765,118.1K
1766,13.9K
1767,160.2K
1768,268.9K
1769,599.4K
1770,3426
1771,654.9K
1772,46.1K
1773,82.3K
1774,234.8K
1775,699
1776,64.3K
1777,10.6K
1778,191K
1779,29.3K
1780,23.5K
1781,276.7K
1782,271.1K
1783,101.7K
1784,13.6K
1785,181.5K
1786,45.2K
1787,726
1788,22.2K
1789,15.1K
1790,50.7K
1791,5316
1792,39K
1793,63.3K
1794,55.3K
1795,191.5K
1796,218.8K
1797,5901
1798,92.1K
1799,613.9K
1800,769.9K
1801,59.2K
1802,77.3K
1803,868.8K
1804,829K
1805,681.2K
1806,236.8K
1807,70.4K
1808,425.5K
1809,136.2K
1810,359.3K
1811,599.6K
1812,831.1K
1813,25.5K
1814,965.8K
1815,420.1K
1816,370.1K
1817,202.2K
1818,451.8K
1819,800.4K
1820,525.8K
1821,158.8K
1822,153K
1823,5810
1824,283.8K
1825,734.6K
1826,137.3K
1827,282.6K
1828,81.7K
1829,109.8K
1830,91K
1831,17K
1832,77.5K
1833,136.8K
1834,271.7K
1835,21
1836,35.8K
1837,177.3K
1838,170.2K
1839,345
1840,129.8K
1841,73.2K
1842,353K
1843,38.5K
1844,400K
1845,233.2K
1846,6463
1847,117.6K
1848,153.1K
1849,244.7K
1850,370.1K
1851,136.7K
1852,215.7K
1853,278.7K
1854,755.2K
1855,239.8K
1856,277.2K
1857,183.4K
1858,233.1K
1859,418.9K
1860,435.6K
1861,28.7K
1862,236.1K
1863,1.2M
1864,131.8K
1865,365.5K
1866,123.3K
1867,310.1K
1868,247.7K
1869,551.9K
1870,77K
1871,99K
1872,84.7K
1873,41.4K
1874,478.4K
1875,299.4K
1876,146K
1877,131.1K
1878,50.7K
1879,256K
1880,64.7K
1881,87.4K
1882,172.9K
1883,14.7K
1884,500K
1885,116.4K
1886,12K
1887,61.9K
1888,1.5M
1889,122.4K
1890,176K
1891,286.9K
1892,76.8K
1893,41.8K
1894,133.7K
1895,278.9K
1896,105.8K
1897,57.6K
1898,367.6K
1899,526.3K
1900,661.6K
1901,248.2K
1902,683.8K
1903,148.1K
1904,236K
1905,305.8K
1906,730.1K
1907,326.6K
1908,10.2K
1909,6719
1910,579.6K
1911,37.6K
1912,523K
1913,371K
1914,145.3K
1915,333K
1916,635.2K
1917,241.1K
1918,115.2K
1919,1.1M
1920,29.4K
1921,572.6K
1922,182.8K
1923,1.2M
1924,370K
1925,122.4K
1926,19.9K
1927,665.5K
1928,125.5K
1929,466.1K
1930,185.6K
1931,332.3K
1932,231K
1933,457K
1934,105.6K
1935,130.4K
1936,116.4K
1937,500K
1938,137.5K
1939,97.3K
1940,474.7K
1941,533.1K
1942,1.2M
1943,30.1K
1944,134.1K
1945,400.2K
1946,138.3K
1947,97.9K
1948,297.6K
1949,1.1M
1950,314.4K
1951,625.9K
1952,658.3K
1953,747.2K
1954,708.6K
1955,1.7M
1956,6573
1957,413.8K
1958,580K
1959,972.3K
1960,378.7K
1961,238.5K
1962,1.2M
1963,838
1964,226.6K
1965,466.1K
1966,838
1967,45.7K
1968,451.5K
1969,1.1M
1970,352.6K
1971,230.7K
1972,504.9K
1973,133.3K
1974,165.4K
1975,475.3K
1976,16.5K
1977,89.6K
1978,289.9K
1979,147.9K
1980,309.1K
1981,118.4K
1982,9079
1983,213.2K
1984,213.4K
1985,77.8K
1986,1519
1987,137.6K
1988,29.2K
1989,115.8K
1990,428.8K
1991,361.3K
1992,5489
1993,759.4K
1994,123.3K
1995,424.9K
1996,31.1K
1997,19
1998,62.4K
1999,1.2M
2000,122.3K
2001,461.4K
2002,771.1K
2003,621.5K
2004,372.8K
2005,252.8K
2006,137.1K
2007,1.3M
2008,275K
2009,223.7K
2010,390
2011,397.9K
2012,75.1K
2013,654.4K
2014,121.5K
2015,611.9K
2016,73.5K
2017,89.6K
2018,552.6K
2019,9170
2020,44.5K
2021,27.6K
2022,134K
2023,677.5K
2024,72.9K
2025,976K
2026,4368
2027,916.5K
2028,162.6K
2029,745.2K
2030,113.8K
2031,33.8K
2032,40K
2033,337.8K
2034,123.7K
2035,190.2K
2036,103.4K
2037,15.6K
2038,296.2K
2039,112.8K
2040,199.9K
2041,152.2K
2042,11.5K
2043,12K
2044,682.2K
2045,567.6K
2046,207.6K
2047,160.9K
2048,67.5K
2049,394.3K
2050,417.7K
2051,653.8K
2052,1.3M
2053,1.2M
2054,1.1M
2055,76.4K
2056,1.2M
2057,307.1K
2058,183.9K
2059,167K
2060,185.1K
2061,172K
2062,66.1K
2063,1.2M
2064,269.2K
2065,557.8K
2066,402.3K
2067,1M
2068,35.5K
2069,395.4K
2070,143.6K
2071,286.1K
2072,287.5K
2073,218.7K
2074,11.7K
2075,211.3K
2076,170.4K
2077,226.9K
2078,48.1K
2079,323K
2080,61.5K
2081,263.6K
2082,101.4K
2083,1.2M
2084,695.4K
2085,96.7K
2086,442.6K
2087,331.8K
2088,7283
2089,612.7K
2090,54.5K
2091,748.2K
2092,183.9K
2093,160.9K
2094,393.5K
2095,524.1K
2096,1.3M
2097,114.2K
2098,159.2K
2099,698.8K
2100,555.1K
2101,857.2K
2102,970.5K
2103,605.7K
2104,696.5K
2105,1.3M
2106,310.3K
2107,749.6K
2108,114K
2109,192.6K
2110,50.4K
2111,129.1K
2112,278K
2113,700.5K
2114,143.8K
2115,695.8K
2116,32.6K
2117,448.9K
2118,1.2M
2119,736.7K
2120,503K
2121,1.5M
2122,139.2K
2123,52.5K
2124,296.2K
2125,1.3M
2126,752.1K
2127,1.6M
2128,591K
2129,442.8K
2130,528.8K
2131,125.4K
2132,908.5K
2133,110.1K
2134,36K
2135,90.6K
2136,658.4K
2137,764.7K
2138,515.2K
2139,1004
2140,704.4K
2141,261.3K
2142,8043
2143,323.1K
2144,58.7K
2145,584.2K
2146,799.9K
2147,611.7K
2148,92.7K
2149,954K
2150,1.2M
2151,835.8K
2152,403.8K
2153,7762
2154,452K
2155,1.2M
2156,211K
2157,897.4K
2158,567.6K
2159,476.7K
2160,794.6K
2161,616.9K
2162,118.7K
2163,400.7K
2164,191.6K
2165,464.4K
2166,668.5K
2167,668.6K
2168,35K
2169,250.2K
2170,11.7K
2171,243.1K
2172,1.3M
2173,323.2K
2174,562.9K
2175,1.7M
2176,84.6K
2177,560
2178,132.9K
2179,777K
2180,744.9K
2181,113.5K
2182,1377
2183,37.1K
2184,801.8K
2185,915.4K
2186,1.1M
2187,244.2K
2188,232.6K
2189,26K
2190,29K
2191,392.9K
2192,432.4K
2193,591K
2194,726.9K
2195,231.6K
2196,20.9K
2197,621.1K
2198,70.9K
2199,424.4K
2200,962.4K
2201,800.4K
2202,86.8K
2203,705.8K
2204,214.3K
2205,817.6K
2206,214.2K
2207,647.3K
2208,661.7K
2209,38.4K
2210,674.6K
2211,1.9M
2212,1.5M
2213,913.9K
2214,1M
2215,1.2M
2216,419K
2217,199.1K
2218,534.8K
2219,744.8K
2220,384.8K
2221,295.5K
2222,874.5K
2223,529.7K
2224,409.3K
2225,1.5M
2226,201.9K
2227,330.6K
2228,289.2K
2229,280.2K
2230,589.2K
2231,509.8K
2232,280.7K
2233,1.4M
2234,1.2M
2235,200.6K
2236,6276
2237,569.6K
2238,24K
2239,389.4K
2240,228.6K
2241,127.9K
2242,124.3K
2243,39.8K
2244,187.7K
2245,243.9K
2246,669.7K
2247,110.5K
2248,83.3K
2249,876.2K
2250,1.8M
2251,1.3M
2252,1.3M
2253,854.9K
2254,511.3K
2255,36.4K
2256,1.4M
2257,835.6K
2258,741.6K
2259,102K
2260,684.9K
2261,1.5M
2262,597.9K
2263,214K
2264,74.2K
2265,200.6K
2266,518.9K
2267,440.4K
2268,583.9K
2269,1.2M
2270,497K
2271,1.2M
2272,1.2M
2273,326.6K
2274,688.6K
2275,285.3K
2276,969.3K
2277,419.3K
2278,225.5K
2279,394.1K
2280,410.4K
2281,619.1K
2282,1M
2283,603.5K
2284,369.6K
2285,467.3K
2286,976.8K
2287,913.9K
2288,369.6K
2289,390.4K
2290,78.8K
2291,916.1K
2292,874.5K
2293,507.2K
2294,198.7K
2295,774K
2296,20K
2297,514.7K
2298,1.3M
2299,1.4M
2300,574.6K
2301,40.1K
2302,887.2K
2303,288.8K
2304,106.3K
2305,797.8K
2306,1.5M
2307,872.7K
2308,737.2K
2309,400.7K
2310,303.4K
2311,320K
2312,601.8K
2313,963.8K
2314,785.5K
2315,1.1M
2316,978.6K
2317,502.5K
2318,471.7K
2319,474.5K
2320,320.5K
2321,142.3K
2322,827.8K
2323,778.9K
2324,188K
2325,768.3K
2326,704.2K
2327,1.3M
2328,1M
2329,50.5K
2330,312.9K
2331,1M
2332,487.2K
2333,463.3K
2334,152.6K
2335,667.7K
2336,33.9K
2337,404.9K
2338,55.5K
2339,440.4K
2340,838.9K
2341,619.1K
2342,543.8K
2343,389.6K
2344,402.1K
2345,23.6K
2346,119.2K
2347,172.3K
2348,91.9K
2349,1.6M
2350,702.8K
2351,1.1M
2352,770.6K
2353,482.2K
2354,793.9K
2355,444.9K
2356,771.6K
2357,158.1K
2358,281K
2359,448K
2360,873.9K
2361,1.6M
2362,24.9K
2363,978.6K
2364,16.7K
2365,460.2K
2366,785.9K
2367,168.8K
2368,56.7K
2369,123.9K
2370,210.8K
2371,56.6K
2372,1.3M
2373,527.9K
2374,733.8K
2375,503.3K
2376,351K
2377,527K
2378,521K
2379,544.3K
2380,315K
2381,349.6K
2382,203.8K
2383,408.4K
2384,540.3K
2385,20.9K
2386,290.4K
2387,12.5K
2388,23.6K
2389,117.3K
2390,171.6K
2391,191.3K
2392,872.7K
2393,27.3K
2394,422.7K
2395,98K
2396,44K
2397,298.8K
2398,225.2K
2399,1.4M
2400,1.1M
2401,934K
2402,681.2K
2403,693.7K
2404,588.4K
2405,30K
2406,826.3K
2407,792.1K
2408,693.9K
2409,83.8K
2410,1.1M
2411,613.7K
2412,763.4K
2413,453.2K
2414,522.9K
2415,520K
2416,624.5K
2417,521.1K
2418,339.6K
2419,638.1K
2420,641.7K
2421,521K
2422,150.4K
2423,497.9K
2424,399.2K
2425,412.6K
2426,414.1K
2427,702.8K
2428,516.3K
2429,510.5K
2430,111
2431,695.9K
2432,290K
2433,67K
2434,158.1K
2435,1019
2436,404.9K
2437,352.9K
2438,613.1K
2439,741.9K
2440,509.7K
2441,1.3M
2442,276.7K
2443,354.1K
2444,499.3K
2445,480.5K
2446,121.9K
2447,325.7K
2448,67.7K
2449,374.3K
2450,411.9K
2451,145.1K
2452,171.8K
2453,222K
2454,238.6K
2455,210.6K
2456,243.7K
2457,282K
2458,795.3K
2459,363.5K
2460,184.2K
2461,365K
2462,197.3K
2463,179.8K
2464,238.2K
2465,9564
2466,179.8K
2467,286.3K
2468,51K
2469,826.9K
2470,312.7K
2471,297.8K
2472,408K
2473,371.3K
2474,534
2475,221.3K
2476,43.4K
2477,109.3K
2478,147.5K
2479,57K
2480,202.7K
2481,388K
2482,70.6K
2483,173.8K
2484,188.8K
2485,40.3K
2486,55.5K
2487,246.3K
2488,3112
2489,1486
2490,82.6K
2491,56.5K
2492,373.4K
2493,55.4K
2494,234.8K
2495,48.3K
2496,207.9K
2497,19.6K
2498,2
2499,29.5K
2500,280.6K
2501,451.2K
2502,148K
2503,75.3K
2504,169.9K
2505,37.5K
2506,283.4K
2507,182.5K
2508,103
2509,586.3K
2510,61.5K
2511,35.9K
2512,281.1K
2513,344.7K
2514,192.5K
2515,45.9K
2516,87.2K
2517,194.7K
2518,74.4K
2519,70K
2520,147.5K
2521,12.8K
2522,234.5K
2523,139.8K
2524,1854
2525,65K
2526,33.5K
2527,171.8K
2528,218.9K
2529,135K
2530,98.3K
2531,6464
2532,205.6K
2533,14.4K
2534,50.6K
2535,99K
2536,342.9K
2537,74.2K
2538,708.6K
2539,49.8K
2540,91.8K
2541,256.2K
2542,186.1K
2543,127.5K
2544,64.3K
2545,149.3K
2546,3067
2547,53.6K
2548,120.4K
2549,17.4K
2550,112.8K
2551,35.1K
2552,110K
2553,106.1K
2554,38.7K
2555,62K
2556,87.6K
2557,66.4K
2558,69.9K
2559,127.6K
2560,117.6K
2561,216.9K
2562,116.3K
2563,175.9K
2564,67.3K
2565,341.6K
2566,66.5K
2567,22.7K
2568,6544
2569,170.1K
2570,33.6K
2571,52.6K
2572,120.8K
2573,49.2K
2574,17K
2575,68.7K
2576,85.9K
2577,401.8K
2578,138.1K
2579,29.6K
2580,181.6K
2581,43.6K
2582,77K
2583,276K
2584,45.5K
2585,129.4K
2586,78.8K
2587,58.4K
2588,166.4K
2589,29.3K
2590,322.3K
2591,68.6K
2592,78.2K
2593,152.3K
2594,294.3K
2595,5619
2596,99.3K
2597,140.5K
2598,115.1K
2599,775K
2600,382.5K
2601,991.9K
2602,244.7K
2603,941K
2604,601.6K
2605,896.4K
2606,603.3K
2607,254.7K
2608,11.2K
2609,253K
2610,352.3K
2611,575K
2612,746.4K
2613,223.1K
2614,818.1K
2615,185.5K
2616,601.3K
2617,459.6K
2618,162.9K
2619,647.3K
2620,437.4K
2621,239.1K
2622,148.6K
2623,258.1K
2624,632.6K
2625,442.4K
2626,403.6K
2627,163.8K
2628,197.2K
2629,9133
2630,358.5K
2631,234.4K
2632,117.5K
2633,616.1K
2634,79.9K
2635,167.4K
2636,99.8K
2637,249.8K
2638,736.5K
2639,228.9K
2640,666.5K
2641,591
2642,168K
2643,138.2K
2644,93.3K
2645,761.8K
2646,167.8K
2647,488.6K
2648,72.7K
2649,69.8K
2650,138.3K
2651,459.5K
2652,240.7K
2653,34.2K
2654,589.3K
2655,86K
2656,192.5K
2657,217.1K
2658,179.8K
2659,281.7K
2660,264.2K
2661,226.1K
2662,865.8K
2663,494.5K
2664,99K
2665,109.7K
2666,154.8K
2667,213.2K
2668,185.2K
2669,139.5K
2670,66.9K
2671,121.5K
2672,348.8K
2673,48.1K
2674,49.3K
2675,218.4K
2676,147.7K
2677,986.2K
2678,71.7K
2679,75.9K
2680,458.8K
2681,26.4K
2682,86.2K
2683,773.2K
2684,542.5K
2685,436.3K
2686,410.4K
2687,524.5K
2688,67.3K
2689,102.6K
2690,395.8K
2691,591
2692,211.3K
2693,232.3K
2694,191.9K
2695,327.8K
2696,160.9K
2697,643.2K
2698,328.6K
2699,131.7K
2700,299.3K
2701,16.7K
2702,1.1M
2703,901.8K
2704,51.1K
2705,70.8K
2706,199.8K
2707,244.2K
2708,591.5K
2709,492.2K
2710,340.9K
2711,376K
2712,67.5K
2713,1912
2714,56.5K
2715,42.5K
2716,258.2K
2717,364K
2718,203.1K
2719,404.8K
2720,82
2721,875.2K
2722,489.9K
2723,175.5K
2724,137K
2725,165.9K
2726,63K
2727,70.1K
2728,162.3K
2729,826.9K
2730,749.9K
2731,279.3K
2732,256.3K
2733,13.8K
2734,11K
2735,119.7K
2736,507.5K
2737,297.2K
2738,363.6K
2739,113.1K
2740,174.5K
2741,237.7K
2742,207.6K
2743,855.4K
2744,63.7K
2745,36.8K
2746,609.9K
2747,89.4K
2748,5267
2749,164.6K
2750,232K
2751,447.1K
2752,1.2M
2753,168.2K
2754,496.9K
2755,85.6K
2756,849.6K
2757,693.1K
2758,398.3K
2759,80.3K
2760,534.9K
2761,814.7K
2762,394.4K
2763,324.6K
2764,404K
2765,876.4K
2766,293.6K
2767,1559
2768,410.1K
2769,96.5K
2770,407.8K
2771,687.9K
2772,627.8K
2773,795.2K
2774,362.5K
2775,450K
2776,372K
2777,414.4K
2778,466.4K
2779,354.3K
2780,343.2K
2781,194.5K
2782,632.2K
2783,844.6K
2784,316.4K
2785,204.3K
2786,802.8K
2787,559.6K
2788,336.9K
2789,351.1K
2790,134.9K
2791,341.2K
2792,338.2K
2793,418.2K
2794,666.5K
2795,15.1K
2796,110.1K
2797,460.2K
2798,310.8K
2799,331.6K
2800,388.9K
2801,539.5K
2802,40.7K
2803,257.1K
2804,584.7K
2805,33.5K
2806,720.5K
2807,304.8K
2808,559.2K
2809,153K
2810,93.2K
2811,192.3K
2812,128.9K
2813,316.5K
2814,83.8K
2815,345.3K
2816,565.1K
2817,86.3K
2818,17.4K
2819,394.5K
2820,406K
2821,1.1M
2822,639.9K
2823,3333
2824,99.9K
2825,71.4K
2826,202.8K
2827,136.7K
2828,73.4K
2829,821.9K
2830,105.7K
2831,139.1K
2832,158.2K
2833,85.7K
2834,687.4K
2835,102.7K
2836,374.1K
2837,509K
2838,351.6K
2839,344.6K
2840,303K
2841,329.4K
2842,634.8K
2843,155.3K
2844,224.8K
2845,332.6K
2846,231.1K
2847,181.2K
2848,552.2K
2849,882.3K
2850,66.5K
2851,134K
2852,662.1K
2853,475.9K
2854,131.9K
2855,39.8K
2856,126.1K
2857,158.9K
2858,338.3K
2859,9231
2860,182.4K
2861,665.3K
2862,724.8K
2863,275.7K
2864,53.1K
2865,171.7K
2866,206.5K
2867,403.3K
2868,699.6K
2869,468.6K
2870,450.1K
2871,354.2K
2872,61.3K
2873,664K
2874,507.6K
2875,362.2K
2876,70.7K
2877,728K
2878,438.3K
2879,268.1K
2880,496.5K
2881,99.7K
2882,1.2M
2883,109.4K
2884,78.8K
2885,620.8K
2886,201.7K
2887,103.7K
2888,815.6K
2889,84.2K
2890,348.1K
2891,60.5K
2892,26.1K
2893,50.9K
2894,218.5K
2895,182.1K
2896,116.9K
2897,249.1K
2898,178.7K
2899,1.5M
2900,154K
2901,833.1K
2902,388.6K
2903,711.2K
2904,1.3M
2905,501.6K
2906,1.6M
2907,240K
2908,815.7K
2909,518K
2910,279.8K
2911,427.7K
2912,319K
2913,795.2K
2914,10.7K
2915,842.2K
2916,120.3K
2917,269K
2918,578.7K
2919,798.8K
2920,205.1K
2921,380.6K
2922,360.6K
2923,438.2K
2924,621.1K
2925,368.6K
2926,357.9K
2927,700.1K
2928,380.1K
2929,245.2K
2930,480.7K
2931,116.3K
2932,341K
2933,149.1K
2934,1.4M
2935,390.6K
2936,4109
2937,376.5K
2938,653.3K
2939,427.1K
2940,508.2K
2941,44.6K
2942,545.4K
2943,3025
2944,189.3K
2945,983.8K
2946,376.3K
2947,200.7K
2948,246.3K
2949,543.7K
2950,271.5K
2951,301.6K
2952,198.2K
2953,180.6K
2954,175K
2955,757K
2956,12K
2957,377.9K
2958,564.2K
2959,1.2M
2960,532.8K
2961,721.8K
2962,446.5K
2963,78.2K
2964,388.7K
2965,280.3K
2966,741.8K
2967,555.8K
2968,1.2M
2969,406.4K
2970,455.4K
2971,145.3K
2972,1M
2973,498.3K
2974,374.4K
2975,154.6K
2976,453.7K
2977,492.5K
2978,577.8K
2979,283.6K
2980,594.8K
2981,590.6K
2982,84.8K
2983,123.7K
2984,120.3K
2985,141.8K
2986,349.7K
2987,3448
2988,101.6K
2989,335.5K
2990,137.8K
2991,200.8K
2992,408.1K
2993,592.5K
2994,690.9K
2995,14.1K
2996,53.1K
2997,113.6K
2998,2292
2999,583.2K
3000,696.8K
3001,552.3K
3002,508.4K
3003,571.1K
3004,87.9K
3005,2434
3006,817.6K
3007,55.9K
3008,467.8K
3009,211.1K
3010,61.8K
3011,422.2K
3012,206.6K
3013,163.2K
3014,552K
3015,547.5K
3016,435.6K
3017,44.7K
3018,353.1K
3019,506K
3020,227.3K
3021,411.5K
3022,579.5K
3023,527.2K
3024,481.9K
3025,568K
3026,385.2K
3027,241.1K
3028,463.7K
3029,4811
3030,83.1K
3031,613.1K
3032,308.1K
3033,263.1K
3034,167.8K
3035,64.2K
3036,81.9K
3037,479.8K
3038,298.8K
3039,438.4K
3040,510.7K
3041,479.2K
3042,260.9K
3043,98.3K
3044,279.9K
3045,643.3K
3046,396.2K
3047,395.3K
3048,211.2K
3049,831.1K
3050,956.8K
3051,699.8K
3052,12.8K
3053,2M
3054,403.5K
3055,829K
3056,927.8K
3057,2.5M
3058,613.9K
3059,170.3K
3060,389.2K
3061,298.2K
3062,163.4K
3063,151.7K
3064,358.7K
3065,746.7K
3066,179.9K
3067,105.3K
3068,382.2K
3069,155.5K
3070,170.3K
3071,265K
3072,303.1K
3073,89.6K
3074,282.6K
3075,18.9K
3076,286.8K
3077,12K
3078,98K
3079,464K
3080,341.9K
3081,310.6K
3082,69.9K
3083,392.4K
3084,753.3K
3085,73.9K
3086,64.8K
3087,359.9K
3088,96.8K
3089,88.6K
3090,229.2K
3091,34.3K
3092,209.7K
3093,45.9K
3094,125K
3095,403.3K
3096,868.8K
3097,271.1K
3098,304.1K
3099,572.9K
3100,16K
3101,190.8K
3102,102.7K
3103,283K
3104,167.7K
3105,237.9K
3106,517.9K
3107,118.7K
3108,190K
3109,392.9K
3110,153.6K
3111,54.5K
3112,239.8K
3113,550.6K
3114,368.7K
3115,1.4M
3116,231.7K
3117,139.8K
3118,319.2K
3119,359.1K
3120,304K
3121,225.8K
3122,1.3M
3123,139.6K
3124,360K
3125,276.7K
3126,1678
3127,145.8K
3128,18K
3129,595.5K
3130,197.8K
3131,638.9K
3132,277.2K
3133,143.9K
3134,221K
3135,425.5K
3136,188.1K
3137,353K
3138,655.7K
3139,202.6K
3140,291.1K
3141,234.8K
3142,382.8K
3143,168.4K
3144,79.7K
3145,266.5K
3146,107.1K
3147,41.7K
3148,681.2K
3149,209K
3150,228.1K
3151,507.3K
3152,286.3K
3153,100.5K
3154,169.9K
3155,230.2K
3156,611.4K
3157,150.7K
3158,116K
3159,376.2K
3160,294.9K
3161,3220
3162,478.4K
3163,211.6K
3164,228.7K
3165,50.3K
3166,769.9K
3167,603.9K
3168,883K
3169,153.8K
3170,348.6K
3171,800.4K
3172,54.8K
3173,324.8K
3174,888.8K
3175,586.4K
3176,1.2M
3177,336.2K
3178,755.2K
3179,730.4K
3180,323.3K
3181,567.1K
3182,349K
3183,318.5K
3184,143.5K
3185,35.8K
3186,284K
3187,60K
3188,278.9K
3189,370.1K
3190,121.9K
3191,202.2K
3192,500.8K
3193,928.7K
3194,401.8K
3195,566.8K
3196,360.2K
3197,109.9K
3198,159.5K
3199,1.4M
3200,1.2M
3201,466.1K
3202,835.8K
3203,605.7K
3204,394.3K
3205,623.4K
3206,970.5K
3207,1.2M
3208,1.3M
3209,969.3K
3210,857.2K
3211,24.9K
3212,854.9K
3213,842.4K
3214,1.3M
3215,1.2M
3216,696.5K
3217,440.4K
3218,878.5K
3219,1.8M
3220,1M
3221,1.2M
3222,502.5K
3223,284.2K
3224,781.8K
3225,1.4M
3226,771.1K
3227,1.2M
3228,1.5M
3229,872.7K
3230,656.2K
3231,1.5M
3232,448.9K
3233,695.9K
3234,745.2K
3235,474.5K
3236,976.8K
3237,874.5K
3238,778.9K
3239,733.9K
3240,1.3M
3241,954K
3242,442.8K
3243,424.4K
3244,188K
3245,688.6K
3246,460.2K
3247,793.9K
3248,1.3M
3249,749.6K
3250,972.3K
3251,36.4K
3252,16.5K
3253,661.7K
3254,573.3K
3255,551.9K
3256,741.7K
3257,279.2K
3258,243.1K
3259,726.2K
3260,989.2K
3261,737.2K
3262,1.4M
3263,963.8K
3264,518.9K
3265,577K
3266,40.1K
3267,668.6K
3268,785.5K
3269,897.4K
3270,962.4K
3271,34.3K
3272,572.6K
3273,674.6K
3274,567.6K
3275,768.3K
3276,817.6K
3277,677.5K
3278,2.4M
3279,668.5K
3280,214.3K
3281,777K
3282,449.2K
3283,122.9K
3284,716.7K
3285,295.5K
3286,601.8K
3287,403.8K
3288,555.1K
3289,224.5K
3290,136.4K
3291,708.6K
3292,569.6K
3293,182.8K
3294,1M
3295,774K
3296,800.4K
3297,200.6K
3298,147.2K
3299,36K
3300,579.4K
3301,836.5K
3302,77.5K
3303,1.1M
3304,1.9M
3305,502.7K
3306,764.7K
3307,1.4M
3308,826K
3309,404.9K
3310,310.6K
3311,838.9K
3312,400.7K
3313,1M
3314,225.5K
3315,695.8K
3316,856.8K
3317,212.4K
3318,504.9K
3319,598.1K
3320,511.3K
3321,74.2K
3322,835.6K
3323,625.9K
3324,1.2M
3325,597.9K
3326,744.8K
3327,153.1K
3328,792.4K
3329,200.2K
3330,876.2K
3331,346.3K
3332,908.5K
3333,443.6K
3334,10.2K
3335,435.5K
3336,370K
3337,1.2M
3338,444.9K
3339,474.7K
3340,1.9M
3341,641.2K
3342,799.9K
3343,726.9K
3344,1.5M
3345,389.6K
3346,562.9K
3347,8109
3348,759.4K
